ID,Name,Type,MaxSpeed,Durability,Acceleration,Handling,CollisionDamage,AttackType,AttackDamage,AttackInterval,Info,PrefabName,
51101,scooter,1,60,10,50,5,7,1,7,3,가장 초반에 나오는 적차량으로 데미지와 속도 모두 낮음,SM_Veh_GolfCart_01,
51201,motor_bike,1,80,30,70,7,10,2,12,4,초반에 나오는 적차량으로 4초마다 낮은 데미지로 총을 발사함,SM_Veh_Motorbike_01,
51102,buggy_car,1,80,50,90,8,15,1,15,3,초반에 나오는 적차량으로 비교적 빠른 속도로 돌진함,SM_Veh_Buggy_01,
51301,hotroad_car,1,100,50,100,10,50,3,50,0,중반부터 나오는 적차량으로 빠른속도로 돌진하여 자폭하는 것이 특징,SM_Veh_HotRod_01,
52101,passenger_car,2,70,70,70,7,20,1,20,3,중반부터 나오는 적차량으로 적당한 속도와 내구도로 돌진함,SM_Veh_Car_Medium_01,
52201,muscle_car,2,80,90,60,6,10,2,8,2,중반부터 나오는 적차량으로 2초마다 총을 발사하며 돌진함,SM_Veh_Muscle_01,
52102,pickup_truck,2,70,120,60,5,25,1,25,3,중후반부터 나오는 적차량으로 높은 내구도와 데미지로 돌진함,SM_Veh_Ute_01,
52202,icecream_car,2,60,150,60,5,10,2,5,1,속도는 느리지만 연사 공격이 특징이며 확정적으로 특수부품을 드랍하는 이벤트 차량,SM_Veh_IceCream_01,
53101,army_truck,3,60,200,70,5,40,1,40,3,후반부터 나오는 적차량으로 높은 내구도와 강한 충돌데미지가 특징,SM_Veh_Army_Truck_01,
53102,dump_truck,3,50,230,60,3,50,1,50,3,후반부터 나오는 적차량으로 높은 내구도와 강한 충돌데미지가 특징,SM_Veh_BigRig_01,
53103,prison_bus,3,80,180,70,4,40,1,40,3,후반부터 나오는 적차량으로 높은 내구도와 강한 충돌데미지가 특징,SM_Veh_Prison_Bus_01,
