ID,Name,Kind,Level,EffetType1,Value1,EffetType2,Value2,CollisionSlow,UpgradeCost,Prefab,
41101,engine_lv1,1,1,2,1.1,1,1,1,5,SM_Item_Alcohol_01,
41201,engine_lv2,1,2,2,1.1,1,1.2,1,5,SM_Item_Alcohol_01,
41301,engine_lv3,1,3,2,1.3,1,1.2,1,7,SM_Item_Alcohol_01,
41401,engine_lv4,1,4,2,1.3,1,1.6,1,7,SM_Item_Alcohol_01,
41501,engine_lv5_acc,1,5,2,1.5,1,1.6,1,10,SM_Item_Alcohol_01,
41511,engine_lv5_max,1,5,2,1.3,1,2,1,10,SM_Item_Alcohol_01,
42101,body_lv1,2,1,3,0.9,4,1,1,5,SM_Item_Alcohol_01,
42201,body_lv2,2,2,3,0.9,4,0.9,1,5,SM_Item_Alcohol_01,
42301,body_lv3,2,3,3,0.7,4,0.9,1,7,SM_Item_Alcohol_01,
42401,body_lv4,2,4,3,0.7,4,0.7,1,7,SM_Item_Alcohol_01,
42501,body_lv5_bullet,2,5,3,0.7,4,0.5,1,10,SM_Item_Alcohol_01,
42511,body_lv5_crush,2,5,3,0.5,4,0.7,1,10,SM_Item_Alcohol_01,
43101,Tire_lv1,3,1,5,1.1,6,1,1,3,SM_Item_Alcohol_01,
43201,Tire_lv2,3,2,5,1.1,6,0.9,1,3,SM_Item_Alcohol_01,
43301,Tire_lv3,3,3,5,1.3,6,0.9,1,5,SM_Item_Alcohol_01,
43401,Tire_lv4,3,4,5,1.3,6,0.6,1,5,SM_Item_Alcohol_01,
43501,Tire_lv5_ter,3,5,5,1.3,6,0,1,7,SM_Item_Alcohol_01,
43511,Tire_lv5_coll,3,5,5,1.3,6,0.6,0.7,7,SM_Item_Alcohol_01,
44101,booster_lv1,4,1,7,1,8,1,1,3,SM_Item_Alcohol_01,
44201,booster_lv2,4,2,7,1.1,8,1,1,3,SM_Item_Alcohol_01,
44301,booster_lv3,4,3,7,1.1,8,2,1,5,SM_Item_Alcohol_01,
44401,booster_lv4,4,4,7,1.3,8,2,1,5,SM_Item_Alcohol_01,
44501,booster_lv5_cou,4,5,7,1.3,8,3,1,7,SM_Item_Alcohol_01,
44511,booster_lv5_spe,4,5,7,1.7,8,2,1,7,SM_Item_Alcohol_01,
